Mali,MLI,8945026,11239101,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590,23293698
Malta,MLT,354170,390087,434558,445053,455356,467999,484630,504062,515332,518536,531113,553214
Marshall Islands,MHL,46047,54224,50419,49410,48329,47187,45989,44728,43413,42050,41569,41996
Mauritania,MRT,2006027,2695003,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139,4862989
Mauritius,MUS,1058775,1186873,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041
Mexico,MEX,81720428,97873442,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125,128455567
"Micronesia, Fed. Sts.",FSM,98603,111709,109024,109462,109925,110430,110929,111379,112106,113131,114164,115224
Moldova,MDA,2965978,2924668,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2538894,2486891
Monaco,MCO,30329,32465,36110,36760,37071,37044,37029,37034,36922,36686,36469,36297
Mongolia,MNG,2161433,2450979,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366,3447157
Montenegro,MNE,606372,604950,621810,622159,622303,622373,622227,622028,621306,619211,617213,616177
Morocco,MAR,24570814,28554415,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971,37840044
Mozambique,MOZ,13303459,17768505,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518,33897354
Myanmar,MMR,40099553,45538332,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,54577997
Namibia,NAM,1369011,1819141,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012,2604172
Nauru,NRU,9598,10377,10940,11185,11437,11682,11924,12132,12315,12511,12668,12780
Nepal,NPL,19616530,24559500,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,30896590
Netherlands,NLD,14951510,15925513,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17879488
New Caledonia,NCL,170899,213230,268050,269460,270220,270810,271170,271240,271080,270390,269215,267940
New Zealand,NZL,3329800,3857700,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117200,5223100
Nicaragua,NIC,4227820,5123222,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392,7046310
Niger,NER,8370648,11622665,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977,27202843
Nigeria,NGA,95214257,122851984,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,223804632
North Macedonia,MKD,2044174,2026350,1917557,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1811980
Northern Mariana Islands,MNP,48002,80338,51856,51514,51133,50729,50304,49858,49587,49481,49551,49796
Norway,NOR,4241473,4490967,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594
Oman,OMN,1804524,2344253,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298,4644384
Pakistan,PAK,115414069,154369924,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,240485658
Palau,PLW,15293,19726,17796,17794,17816,17837,17864,17916,17972,18024,18055,18058
Panama,PAN,2449968,3001731,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581,4468087
Papua New Guinea,PNG,3864972,5508297,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619,10329931
Paraguay,PRY,4059195,5123819,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744,6861524
Peru,PER,22109099,26654439,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588,34352719
